contents	keywords
A hedge fund is a pooled investment fund that holds liquid assets and that makes use of complex trading and risk management techniques to improve investment performance and insulate returns from market risk. Among these portfolio techniques are short selling and the use of  leverage and derivative instruments.	Hedge fund, Risk, Performance
[1] In the United States, financial regulations require that hedge funds be marketed only to institutional investors and high-net-worth individuals. Hedge funds are considered alternative investments.	Hedge fund, Regulation
Their ability to use leverage and more complex investment techniques distinguishes them from regulated investment funds available to the retail market, commonly known as mutual funds and ETFs. They are also considered distinct from private equity funds and other similar closed-end funds as hedge funds generally invest in relatively liquid assets and are usually open-ended.	Hedge fund
"This means they typically allow investors to invest and withdraw capital periodically based on the fund's net asset value, whereas private-equity funds generally invest in illiquid assets and return capital only after a number of years. [2][3] Other than a fund's regulatory status, there are no formal or fixed definitions of fund types, and so there are different views of what can constitute a ""hedge fund""."	Hedge fund
Although hedge funds are not subject to the many restrictions applicable to regulated funds, regulations were passed in the United States and Europe following the financial crisis of 2007–2008 with the intention of increasing government oversight of hedge funds and eliminating certain regulatory gaps. [4] While most modern hedge funds are able to employ a wide variety of financial instruments and risk management techniques,[5] they can be very different from each other with respect to their strategies, risks, volatility and expected return profile.	Hedge fund, Strategies, Risk, Regulation
"It is common for hedge fund investment strategies to aim to achieve a positive return on investment regardless of whether markets are rising or falling (""absolute return""). Hedge funds can be considered risky investments; the expected returns of some hedge fund strategies are less volatile than those of retail funds with high exposure to stock markets because of the use of hedging techniques."	Hedge fund, Strategies, Risk
Research in 2015 has shown that hedge fund activism can have significant real effects on target firms, including improvements in productivity and efficient reallocation of corporate assets. Moreover, these interventions often lead to increased labor productivity, although the benefits may not fully accrue to workers in terms of increased wages or work hours.	Hedge fund
"[6]
 A hedge fund usually pays its investment manager a management fee (typically, 2% per annum of the net asset value of the fund) and a performance fee (typically, 20% of the increase in the fund's net asset value during a year). [1] Hedge funds have existed for many decades and have become increasingly popular."	Hedge fund, Performance
They have now grown to be a substantial portion of the asset management industry,[7] with assets totaling around $3. 8 trillion as of 2021.	other
"[8]
 The word ""hedge"", meaning a line of bushes around the perimeter of a field, has long been used as a metaphor for placing limits on risk. [9] Early hedge funds sought to hedge specific investments against general market fluctuations by shorting other, similar assets."	Hedge fund, Risk
"[10]: 4  Nowadays, however, many different investment strategies are used, many of which do not ""hedge"" risk. [10]: 16–34 [11]
 During the US bull market of the 1920s, there were numerous private investment vehicles available to wealthy investors."	Strategies, Risk
Of that period, the best known today is the Graham-Newman Partnership, founded by Benjamin Graham and his long-time business partner Jerry Newman. [12] This was cited by Warren Buffett in a 2006 letter to the Museum of American Finance as an early hedge fund,[13] and based on other comments from Buffett, Janet Tavakoli deems Graham's investment firm the first hedge fund.	Hedge fund
"[14]
 The sociologist Alfred W. Jones is credited with coining the phrase ""hedged fund""[15][16] and is credited with creating the first hedge fund structure in 1949."	Hedge fund, Structure
"[17] Jones referred to his fund as being ""hedged"", a term then commonly used on Wall Street to describe the management of investment risk due to changes in the financial markets. [18]
 In the 1970s, hedge funds specialized in a single strategy with most fund managers following the long/short equity model."	Hedge fund, Risk
Many hedge funds closed during the recession of 1969–1970 and the 1973–1974 stock market crash due to heavy losses. They received renewed attention in the late 1980s.	Hedge fund
"[16]
 During the 1990s, the number of hedge funds increased significantly with the 1990s stock market rise,[15] the aligned-interest compensation structure (i. e."	Hedge fund, Structure
, common financial interests), and the promise of above average returns[19] as likely causes. Over the next decade, hedge fund strategies expanded to include credit arbitrage, distressed debt, fixed income, quantitative, and multi-strategy.	Hedge fund, Strategies
"[16] US institutional investors, such as pension and endowment funds, began allocating greater portions of their portfolios to hedge funds. [20][21]
 During the first decade of the 21st century, hedge funds gained popularity worldwide, and, by 2008, the worldwide hedge fund industry held an estimated US$1."	Hedge fund
93 trillion in assets under management (AUM). [22][23] However, the financial crisis of 2007–2008 caused many hedge funds to restrict investor withdrawals and their popularity and AUM totals declined.	Hedge fund
[24] AUM totals rebounded and in April 2011 were estimated at almost $2 trillion. [25][26] As of February 2011[update], 61% of worldwide investment in hedge funds came from institutional sources.	Hedge fund
"[27]
 In June 2011, the hedge fund management firms with the greatest AUM were Bridgewater Associates (US$58. 9 billion), Man Group (US$39."	Hedge fund
2 billion), Paulson & Co. (US$35.	other
1 billion), Brevan Howard (US$31 billion), and Och-Ziff (US$29. 4 billion).	other
[28] Bridgewater Associates had $70 billion in assets under management as of March 2012[update]. [29][30] At the end of that year, the 241 largest hedge fund firms in the United States collectively held $1.	Hedge fund
335 trillion. [31] In April 2012, the hedge fund industry reached a record high of US$2.	Hedge fund
"13 trillion total assets under management. [32] In the middle of the 2010s, the hedge fund industry experienced a general decline in the ""old guard"" fund managers."	Hedge fund
"Dan Loeb called it a ""hedge fund killing field"" due to the classic long/short falling out of favor because of unprecedented easing by central banks. The US stock market correlation became untenable to short sellers."	Hedge fund
[33] The hedge fund industry today has reached a state of maturity that is consolidating around the larger, more established firms such as Citadel, Elliot, Millennium, Bridgewater, and others. The rate of new fund start ups is now outpaced by fund closings.	Hedge fund
"[34]
 In July 2017, hedge funds recorded their eighth consecutive monthly gain in returns with assets under management rising to a record $3. 1 trillion."	Hedge fund
"[35]
 Hedge fund strategies are generally classified among four major categories: global macro, directional, event-driven, and relative value (arbitrage). [65] Strategies within these categories each entail characteristic risk and return profiles."	Hedge fund, Strategies, Risk
A fund may employ a single strategy or multiple strategies for flexibility, risk management, or diversification. [66] The hedge fund's prospectus, also known as an offering memorandum, offers potential investors information about key aspects of the fund, including the fund's investment strategy, investment type, and leverage limit.	Hedge fund, Strategies, Risk
"[67]
 The elements contributing to a hedge fund strategy include the hedge fund's approach to the market, the particular instrument use, the market sector the fund specializes in (e. g."	Hedge fund
, healthcare), the method used to select investments, and the amount of diversification within the fund. There are a variety of market approaches to different asset classes, including equity, fixed income, commodity, and currency.	other
"Instruments used include equities, fixed income, futures, options, and swaps. Strategies can be divided into those in which investments can be selected by managers, known as ""discretionary/qualitative"", or those in which investments are selected using a computerized system, known as ""systematic/quantitative""."	Strategies
"[68] The amount of diversification within the fund can vary; funds may be multi-strategy, multi-fund, multi-market, multi-manager, or a combination. Sometimes hedge fund strategies are described as ""absolute return"" and are classified as either ""market neutral"" or ""directional""."	Hedge fund, Strategies
"Market neutral funds have less correlation to overall market performance by ""neutralizing"" the effect of market swings whereas directional funds utilize trends and inconsistencies in the market and have greater exposure to the market's fluctuations. [66][69]
 Hedge funds using a global macro investing strategy take large positions in share, bond, or currency markets in anticipation of global macroeconomic events in order to generate a risk-adjusted return."	Hedge fund, Risk, Performance
"[69] Global macro fund managers use macroeconomic (""big picture"") analysis based on global market events and trends to identify opportunities for investment that would profit from anticipated price movements. While global macro strategies have a large amount of flexibility (due to their ability to use leverage to take large positions in diverse investments in multiple markets), the timing of the implementation of the strategies is important in order to generate attractive, risk-adjusted returns."	Strategies, Risk
"[70] Global macro is often categorized as a directional investment strategy. [69]
 Global macro strategies can be divided into discretionary and systematic approaches."	Strategies
Discretionary trading is carried out by investment managers who identify and select investments, whereas systematic trading is based on mathematical models and executed by software with limited human involvement beyond the programming and updating of the software. These strategies can also be divided into trend or counter-trend approaches depending on whether the fund attempts to profit from following market trend (long or short-term) or attempts to anticipate and profit from reversals in trends.	Strategies
"[68]
 Within global macro strategies, there are further sub-strategies including ""systematic diversified"", in which the fund trades in diversified markets, or sector specialists such as ""systematic currency"", in which the fund trades in foreign exchange markets or any other sector specialisation. [71]: 348  Other sub-strategies include those employed by commodity trading advisors (CTAs), where the fund trades in futures (or options) in commodity markets or in swaps."	Strategies
"[72] This is also known as a ""managed future fund"". [69] CTAs trade in commodities (such as gold) and financial instruments, including stock indices."	other
They also take both long and short positions, allowing them to make profit in both market upswings and downswings. [73] Most global macro managers tends to be a CTA from a regulatory perspective and the main divide is between systematic and discretionary strategies.	Strategies
"A classification framework for CTA/Macro Strategies can be found in the reference. [74]
 Directional investment strategies use market movements, trends, or inconsistencies when picking stocks across a variety of markets."	Strategies
Computer models can be used, or fund managers will identify and select investments. These types of strategies have a greater exposure to the fluctuations of the overall market than do market neutral strategies.	Strategies
[66][69] Directional hedge fund strategies include US and international long/short equity hedge funds, where long equity positions are hedged with short sales of equities or equity index options. Within directional strategies, there are a number of sub-strategies.	Hedge fund, Strategies
